symbol,sector,industry,committee,empty
FEMS,,,[],[]
EEM,,,[],[]
GME,Consumer Cyclical,Specialty Retail,['commerce'],[]
SHOP,Technology,Software—Application,['science'],[]
TSLA,Consumer Cyclical,Auto Manufacturers,"['commerce', 'transportation']",[]
STAG,Real Estate,REIT—Industrial,['housing'],[]
AEP,Utilities,Utilities—Regulated Electric,['energy'],[]
PBA,Energy,Oil & Gas Midstream,"['energy', 'naturalresources']",[]
VIAV,Technology,Communication Equipment,['science'],[]
EVOP,Technology,Software—Infrastructure,['science'],[]
RODM,,,[],[]
AJRD,Industrials,Aerospace & Defense,"['armedservices', 'homelandsecurity']",[]
CRSP,Healthcare,Biotechnology,['health'],[]
UNH,Healthcare,Healthcare Plans,['health'],[]
PSX,Energy,Oil & Gas Refining & Marketing,"['energy', 'naturalresources']",[]
SYY,Consumer Defensive,Food Distribution,"['nutrition', 'agriculture']",[]
NTAP,Technology,Computer Hardware,['science'],[]
PLUG,Industrials,Electrical Equipment & Parts,[],[]
EXPI,Real Estate,Real Estate Services,['housing'],[]
ETY,Financial Services,Asset Management,['finance'],[]
W,Consumer Cyclical,Internet Retail,['commerce'],[]
ZM,Technology,Software—Application,['science'],[]
AIV,Real Estate,REIT—Residential,['housing'],[]
UPS,Industrials,Integrated Freight & Logistics,['transportation'],[]
SBUX,Consumer Cyclical,Restaurants,"['commerce', 'nutrition']",[]
PLD,Real Estate,REIT—Industrial,['housing'],[]
BYND,Consumer Defensive,Packaged Foods,['nutrition'],[]
DAL,Industrials,Airlines,['transportation'],[]
SNPS,Technology,Software—Infrastructure,['science'],[]
OHI,Real Estate,REIT—Healthcare Facilities,['housing'],[]
ERIC,Technology,Communication Equipment,['science'],[]
MRVL,Technology,Semiconductors,['science'],[]
BRKR,Healthcare,Medical Devices,['health'],[]
ACIW,Technology,Software—Infrastructure,['science'],[]
GMAB,Healthcare,Biotechnology,['health'],[]
BAH,Industrials,Consulting Services,[],[]
HBI,Consumer Cyclical,Apparel Manufacturing,['commerce'],[]
NTLA,Healthcare,Biotechnology,['health'],[]
PTLC,,,[],[]
PAGS,Technology,Software—Infrastructure,['science'],[]
CTVA,Basic Materials,Agricultural Inputs,"['agriculture', 'naturalresources']",[]
HAL,Energy,Oil & Gas Equipment & Services,"['energy', 'naturalresources']",[]
PAAS,Basic Materials,Silver,['naturalresources'],[]
FTV,Technology,Scientific & Technical Instruments,['science'],[]
WDAY,Technology,Software—Application,['science'],[]
BBY,Consumer Cyclical,Specialty Retail,['commerce'],[]
NVAX,Healthcare,Biotechnology,['health'],[]
IJR,,,[],[]
CB,Financial Services,Insurance—Property & Casualty,['finance'],[]
TT,Industrials,Building Products & Equipment,[],[]
ATOAX,,,[],[]
AMWD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",['commerce'],[]
IRBT,Consumer Cyclical,"Furnishings, Fixtures & Appliances",['commerce'],[]
SLB,Energy,Oil & Gas Equipment & Services,"['energy', 'naturalresources']",[]
COP,Energy,Oil & Gas E&P,"['energy', 'naturalresources']",[]
TXN,Technology,Semiconductors,['science'],[]
ALL,Financial Services,Insurance—Property & Casualty,['finance'],[]
MPC,Energy,Oil & Gas Refining & Marketing,"['energy', 'naturalresources']",[]
TCEHY,Communication Services,Internet Content & Information,[],[]
PSA,Real Estate,REIT—Industrial,['housing'],[]
COUP,Technology,Software—Application,['science'],[]
MAR,Consumer Cyclical,Lodging,['commerce'],[]
VAC,Consumer Cyclical,Resorts & Casinos,['commerce'],[]
OSK,Industrials,Farm & Heavy Construction Machinery,['agriculture'],[]
ICE,Financial Services,Financial Data & Stock Exchanges,['finance'],[]
NKLA,Industrials,Farm & Heavy Construction Machinery,['agriculture'],[]
TGT,Consumer Defensive,Discount Stores,"['commerce', 'nutrition']",[]
AAL,Industrials,Airlines,['transportation'],[]
SPOT,Communication Services,Internet Content & Information,[],[]
SIL,,,[],[]
DLS,,,[],[]
TRIP,Consumer Cyclical,Travel Services,['commerce'],[]
BAM,Financial Services,Asset Management,['finance'],[]
VMC,Basic Materials,Building Materials,['naturalresources'],[]
BERY,Consumer Cyclical,Packaging & Containers,['commerce'],[]
PRJAX,,,[],[]
UBER,Technology,Software—Application,['science'],[]
QSR,Consumer Cyclical,Restaurants,"['commerce', 'nutrition']",[]
MCD,Consumer Cyclical,Restaurants,"['commerce', 'nutrition']",[]
DPZ,Consumer Cyclical,Restaurants,"['commerce', 'nutrition']",[]
BRY,Energy,Oil & Gas E&P,"['energy', 'naturalresources']",[]
LYV,Communication Services,Entertainment,[],[]
MU,Technology,Semiconductors,['science'],[]
LGF-B,Communication Services,Entertainment,[],[]
GPK,Consumer Cyclical,Packaging & Containers,['commerce'],[]
DVN,Energy,Oil & Gas E&P,"['energy', 'naturalresources']",[]
ALB,Basic Materials,Specialty Chemicals,['naturalresources'],[]
URBN,Consumer Cyclical,Apparel Retail,['commerce'],[]
AXTA,Basic Materials,Specialty Chemicals,['naturalresources'],[]
GM,Consumer Cyclical,Auto Manufacturers,"['commerce', 'transportation']",[]
SPY,,,[],[]
VEA,,,[],[]
VOO,,,[],[]
CAIFX,,,[],[]
FRIAX,,,[],[]
AMLP,,,[],[]
ENB,Energy,Oil & Gas Midstream,"['energy', 'naturalresources']",[]
TRP,Energy,Oil & Gas Midstream,"['energy', 'naturalresources']",[]
CEQP,Energy,Oil & Gas Midstream,"['energy', 'naturalresources']",[]
NWSA,Communication Services,Entertainment,[],[]
NKE,Consumer Cyclical,Footwear & Accessories,['commerce'],[]
BX,Financial Services,Asset Management,['finance'],[]
