,Date,onDay,after_1,after_2,after_3,after_4,after_5,after_6,after_7,after_8,after_9,after_10,after_11,after_12,after_13,after_14,after_15,after_30,after_45,after_90,after_120,after_365,after_730,after_1095,after_1460,after_1825
2991,2021-04-24,4187.6201171875,4187.6201171875,4187.6201171875,4186.72021484375,4183.18017578125,4211.47021484375,4181.169921875,4192.66015625,4192.66015625,4192.66015625,4164.66015625,4167.58984375,4201.6201171875,4232.60009765625,4188.43017578125,4188.43017578125,4197.0498046875,4227.259765625,4411.7900390625,4479.52978515625,4296.1201171875,,,,
2992,2021-04-25,4187.6201171875,4187.6201171875,4186.72021484375,4183.18017578125,4211.47021484375,4181.169921875,4192.66015625,4192.66015625,4192.66015625,4164.66015625,4167.58984375,4201.6201171875,4232.60009765625,4188.43017578125,4188.43017578125,4188.43017578125,4188.1298828125,4219.5498046875,4422.2998046875,4479.52978515625,4296.1201171875,,,,
2993,2021-04-26,4187.6201171875,4186.72021484375,4183.18017578125,4211.47021484375,4181.169921875,4192.66015625,4192.66015625,4192.66015625,4164.66015625,4167.58984375,4201.6201171875,4232.60009765625,4188.43017578125,4188.43017578125,4188.43017578125,4152.10009765625,4195.990234375,4239.18017578125,4422.2998046875,4486.22998046875,4175.2001953125,,,,
2994,2021-04-27,4186.72021484375,4183.18017578125,4211.47021484375,4181.169921875,4192.66015625,4192.66015625,4192.66015625,4164.66015625,4167.58984375,4201.6201171875,4232.60009765625,4188.43017578125,4188.43017578125,4188.43017578125,4152.10009765625,4063.0400390625,4200.8798828125,4247.43994140625,4422.2998046875,4496.18994140625,4183.9599609375,,,,
2995,2021-04-28,4183.18017578125,4211.47021484375,4181.169921875,4192.66015625,4192.66015625,4192.66015625,4164.66015625,4167.58984375,4201.6201171875,4232.60009765625,4188.43017578125,4188.43017578125,4188.43017578125,4152.10009765625,4063.0400390625,4112.5,4204.10986328125,4255.14990234375,4401.4599609375,4470.0,4287.5,,,,
2996,2021-04-29,4211.47021484375,4181.169921875,4192.66015625,4192.66015625,4192.66015625,4164.66015625,4167.58984375,4201.6201171875,4232.60009765625,4188.43017578125,4188.43017578125,4188.43017578125,4152.10009765625,4063.0400390625,4112.5,4173.85009765625,4202.0400390625,4255.14990234375,4400.64013671875,4509.3701171875,4131.93017578125,,,,
2997,2021-04-30,4181.169921875,4192.66015625,4192.66015625,4192.66015625,4164.66015625,4167.58984375,4201.6201171875,4232.60009765625,4188.43017578125,4188.43017578125,4188.43017578125,4152.10009765625,4063.0400390625,4112.5,4173.85009765625,4163.2900390625,4202.0400390625,4255.14990234375,4419.14990234375,4528.7900390625,4155.3798828125,,,,
2998,2021-05-01,4192.66015625,4192.66015625,4192.66015625,4164.66015625,4167.58984375,4201.6201171875,4232.60009765625,4188.43017578125,4188.43017578125,4188.43017578125,4152.10009765625,4063.0400390625,4112.5,4173.85009765625,4163.2900390625,4163.2900390625,4202.0400390625,4246.58984375,4395.259765625,4528.7900390625,4155.3798828125,,,,
2999,2021-05-02,4192.66015625,4192.66015625,4164.66015625,4167.58984375,4201.6201171875,4232.60009765625,4188.43017578125,4188.43017578125,4188.43017578125,4152.10009765625,4063.0400390625,4112.5,4173.85009765625,4163.2900390625,4163.2900390625,4163.2900390625,4202.0400390625,4223.7001953125,4387.16015625,4528.7900390625,4155.3798828125,,,,
3000,2021-05-03,4192.66015625,4164.66015625,4167.58984375,4201.6201171875,4232.60009765625,4188.43017578125,4188.43017578125,4188.43017578125,4152.10009765625,4063.0400390625,4112.5,4173.85009765625,4163.2900390625,4163.2900390625,4163.2900390625,4127.830078125,4208.1201171875,4221.85986328125,4387.16015625,4522.68017578125,4175.47998046875,,,,
3001,2021-05-04,4164.66015625,4167.58984375,4201.6201171875,4232.60009765625,4188.43017578125,4188.43017578125,4188.43017578125,4152.10009765625,4063.0400390625,4112.5,4173.85009765625,4163.2900390625,4163.2900390625,4163.2900390625,4127.830078125,4115.68017578125,4192.85009765625,4166.4501953125,4387.16015625,4524.08984375,4300.169921875,,,,
3002,2021-05-05,4167.58984375,4201.6201171875,4232.60009765625,4188.43017578125,4188.43017578125,4188.43017578125,4152.10009765625,4063.0400390625,4112.5,4173.85009765625,4163.2900390625,4163.2900390625,4163.2900390625,4127.830078125,4115.68017578125,4159.1201171875,4229.89013671875,4224.7900390625,4423.14990234375,4536.9501953125,4146.8701171875,,,,
